,Case,No,Task,segment,year,miles,night,gender,age,educ,region,Urb,income,ppark,Choice,alt,CC,GN,NS,BU,FA,LD,BZ,FC,FP,RP,PP,KA,SC,TS,NV,MA,LB,AF,HU,Price,chid
1.Ch1,1,1,1,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,1,4,6,0,0,0,0,3,1,1,0,0,1,1,4,0,0,0,2,1
1.Ch2,1,1,1,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,2,1,2,0,0,0,0,2,1,1,0,0,1,1,1,0,0,0,2,1
1.Ch3,1,1,1,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,2,4,5,0,0,0,0,3,2,3,0,0,3,1,1,0,0,0,2,1
1.Ch4,1,1,1,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.Ch1,1,2,2,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch1,1,3,0,0,0,2,2,2,1,0,0,0,1,3,0,0,0,4,2,0,8,2
2.Ch2,1,2,2,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch1,2,1,0,0,0,1,3,1,2,0,0,0,2,2,0,0,0,1,3,0,7,2
2.Ch3,1,2,2,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch1,3,2,0,0,0,2,1,3,2,0,0,0,2,2,0,0,0,4,3,0,12,2
2.Ch4,1,2,2,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3.Ch1,1,3,3,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,1,1,5,0,2,0,3,0,1,0,0,0,1,2,0,0,0,0,2,4,3
3.Ch2,1,3,3,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,2,2,5,0,1,0,1,0,4,0,0,0,4,3,0,0,0,0,2,6,3
3.Ch3,1,3,3,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,3,2,5,0,2,0,2,0,1,0,0,0,3,2,0,0,0,0,1,7,3
3.Ch4,1,3,3,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4.Ch1,1,4,4,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,0,0,2,0,3,0,2,0,1,0,0,0,0,3,4,4,2,1,3,4
4.Ch2,1,4,4,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,0,0,4,0,2,0,2,0,2,0,0,0,0,3,4,2,2,1,7,4
4.Ch3,1,4,4,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,0,0,5,0,2,0,2,0,1,0,0,0,0,1,4,1,1,2,10,4
4.Ch4,1,4,4,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5.Ch1,1,5,5,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,2,2,0,1,2,0,2,0,0,2,1,0,0,3,0,3,0,0,1,5
5.Ch2,1,5,5,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,1,1,0,1,3,0,1,0,0,2,1,0,0,1,0,2,0,0,4,5
5.Ch3,1,5,5,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,1,4,0,2,2,0,2,0,0,1,1,0,0,1,0,1,0,0,2,5
5.Ch4,1,5,5,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
6.Ch1,1,6,6,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,3,0,0,5,0,0,1,0,4,0,2,2,4,1,0,0,0,1,0,1,6
6.Ch2,1,6,6,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,1,0,0,1,0,0,2,0,1,0,1,2,4,2,0,0,0,3,0,7,6
6.Ch3,1,6,6,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,2,0,0,5,0,0,3,0,2,0,3,2,1,1,0,0,0,2,0,11,6
6.Ch4,1,6,6,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7.Ch1,1,7,7,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,2,0,0,1,0,2,0,0,1,1,0,4,0,0,1,0,3,2,3,7
7.Ch2,1,7,7,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,2,0,0,1,0,2,0,0,1,1,0,3,0,0,4,0,1,1,2,7
7.Ch3,1,7,7,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,2,0,0,2,0,1,0,0,2,3,0,1,0,0,2,0,2,1,12,7
7.Ch4,1,7,7,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
8.Ch1,1,8,8,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,3,0,1,0,0,2,0,0,2,1,0,1,0,0,0,1,2,0,2,4,8
8.Ch2,1,8,8,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,2,0,3,0,0,2,0,0,4,1,0,2,0,0,0,4,4,0,1,11,8
8.Ch3,1,8,8,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,2,0,4,0,0,3,0,0,2,1,0,2,0,0,0,1,3,0,1,11,8
8.Ch4,1,8,8,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
9.Ch1,1,9,9,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,3,0,0,3,0,0,2,2,0,0,2,2,0,1,3,2,0,0,0,11,9
9.Ch2,1,9,9,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,2,0,0,6,0,0,3,2,0,0,2,1,0,2,1,2,0,0,0,4,9
9.Ch3,1,9,9,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,2,0,0,4,0,0,2,2,0,0,1,2,0,2,2,2,0,0,0,11,9
9.Ch4,1,9,9,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
10.Ch1,1,10,10,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,0,0,0,0,0,0,2,1,2,0,0,1,1,3,0,4,2,1,6,10
10.Ch2,1,10,10,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,2,0,0,0,0,0,0,0,1,2,2,0,0,3,2,3,0,1,2,1,5,10
10.Ch3,1,10,10,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,3,0,0,0,0,0,0,0,2,4,1,0,0,4,3,3,0,2,3,2,8,10
10.Ch4,1,10,10,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
11.Ch1,1,11,11,Midsize Car,2000,75,25,0,55,4,NE,1,185000,365,Ch2,1,0,2,3,2,1,3,1,0,0,0,0,1,0,1,0,0,0,0,1,7,11
