"","Case","No","Task","segment","year","miles","night","gender","age","educ","region","Urb","income","ppark","Ch1","Ch2","Ch3","Ch4","Choice","alt","CC","GN","NS","BU","FA","LD","BZ","FC","FP","RP","PP","KA","SC","TS","NV","MA","LB","AF","HU","Price","chid"
"1.Ch1",1,13,13,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,1,3,1,1,0,2,3,0,1,0,2,0,0,0,0,2,0,0,3,0,10,1
"1.Ch2",1,13,13,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,TRUE,2,2,2,3,0,1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,9,1
"1.Ch3",1,13,13,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,3,2,1,3,0,2,1,0,2,0,2,0,0,0,0,1,0,0,2,0,3,1
"1.Ch4",1,13,13,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2.Ch1",1,14,14,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,1,0,0,0,1,1,0,0,2,0,1,0,0,3,2,0,2,1,0,1,9,2
"2.Ch2",1,14,14,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,TRUE,2,0,0,0,5,1,0,0,1,0,2,0,0,4,1,0,4,3,0,2,6,2
"2.Ch3",1,14,14,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,3,0,0,0,6,1,0,0,2,0,1,0,0,3,1,0,4,2,0,1,10,2
"2.Ch4",1,14,14,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3.Ch1",1,15,15,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,1,3,0,0,0,1,0,2,0,2,0,3,2,0,0,1,0,4,3,0,6,3
"3.Ch2",1,15,15,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,TRUE,2,1,0,0,0,1,0,1,0,2,0,1,1,0,0,1,0,4,2,0,3,3
"3.Ch3",1,15,15,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,3,1,0,0,0,2,0,2,0,3,0,1,2,0,0,1,0,1,2,0,10,3
"3.Ch4",1,15,15,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"4.Ch1",1,16,16,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,0,1,0,FALSE,1,1,2,0,0,0,0,1,2,1,0,0,0,2,0,2,4,0,0,2,8,4
"4.Ch2",1,16,16,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,0,1,0,FALSE,2,1,2,0,0,0,0,2,1,1,0,0,0,2,0,2,3,0,0,2,10,4
"4.Ch3",1,16,16,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,0,1,0,TRUE,3,2,1,0,0,0,0,3,2,1,0,0,0,4,0,2,2,0,0,2,8,4
"4.Ch4",1,16,16,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,0,1,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"5.Ch1",1,17,17,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,1,0,0,3,1,0,1,0,0,2,2,2,2,0,3,0,0,0,3,0,9,5
"5.Ch2",1,17,17,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,TRUE,2,0,0,3,6,0,2,0,0,3,1,3,1,0,2,0,0,0,3,0,6,5
"5.Ch3",1,17,17,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,3,0,0,1,4,0,1,0,0,4,1,1,2,0,2,0,0,0,3,0,11,5
"5.Ch4",1,17,17,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"6.Ch1",1,18,18,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,FALSE,1,3,2,3,1,0,0,0,0,0,0,1,0,0,0,2,0,3,3,1,7,6
"6.Ch2",1,18,18,"Midsize Car",2000,75,25,0,55,4,"NE",1,185000,365,0,1,0,0,TRUE,2,3,1,5,1,0,0,0,0,0,0,1,0,0,0,1,0,2,3,2,2,6
