No,CC,GN,NS,BU,FA,LD,BZ,FC,FP,RP,PP,KA,SC,TS,NV,MA,LB,AF,HU,Price,Choice
1,0,1,4,6,0,0,0,0,3,1,1,0,0,1,1,4,0,0,0,2,0
2,0,2,1,2,0,0,0,0,2,1,1,0,0,1,1,1,0,0,0,2,1
3,0,2,4,5,0,0,0,0,3,2,3,0,0,3,1,1,0,0,0,2,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,0,0,0,2,2,2,1,0,0,0,1,3,0,0,0,4,2,0,8,1
6,1,0,0,0,1,3,1,2,0,0,0,2,2,0,0,0,1,3,0,7,0
7,2,0,0,0,2,1,3,2,0,0,0,2,2,0,0,0,4,3,0,12,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,5,0,2,0,3,0,1,0,0,0,1,2,0,0,0,0,2,4,0
10,2,2,5,0,1,0,1,0,4,0,0,0,4,3,0,0,0,0,2,6,1
11,3,2,5,0,2,0,2,0,1,0,0,0,3,2,0,0,0,0,1,7,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,2,0,3,0,2,0,1,0,0,0,0,3,4,4,2,1,3,0
14,0,0,0,4,0,2,0,2,0,2,0,0,0,0,3,4,2,2,1,7,1
15,0,0,0,5,0,2,0,2,0,1,0,0,0,0,1,4,1,1,2,10,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,2,2,0,1,2,0,2,0,0,2,1,0,0,3,0,3,0,0,1,0
18,0,1,1,0,1,3,0,1,0,0,2,1,0,0,1,0,2,0,0,4,1
19,0,1,4,0,2,2,0,2,0,0,1,1,0,0,1,0,1,0,0,2,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3,0,0,5,0,0,1,0,4,0,2,2,4,1,0,0,0,1,0,1,0
22,1,0,0,1,0,0,2,0,1,0,1,2,4,2,0,0,0,3,0,7,1
23,2,0,0,5,0,0,3,0,2,0,3,2,1,1,0,0,0,2,0,11,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,2,0,0,1,0,2,0,0,1,1,0,4,0,0,1,0,3,2,3,0
26,0,2,0,0,1,0,2,0,0,1,1,0,3,0,0,4,0,1,1,2,1
27,0,2,0,0,2,0,1,0,0,2,3,0,1,0,0,2,0,2,1,12,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3,0,1,0,0,2,0,0,2,1,0,1,0,0,0,1,2,0,2,4,0
30,2,0,3,0,0,2,0,0,4,1,0,2,0,0,0,4,4,0,1,11,1
31,2,0,4,0,0,3,0,0,2,1,0,2,0,0,0,1,3,0,1,11,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,3,0,0,3,0,0,2,2,0,0,2,2,0,1,3,2,0,0,0,11,0
34,2,0,0,6,0,0,3,2,0,0,2,1,0,2,1,2,0,0,0,4,1
35,2,0,0,4,0,0,2,2,0,0,1,2,0,2,2,2,0,0,0,11,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,2,1,2,0,0,1,1,3,0,4,2,1,6,0
38,0,0,0,0,0,0,0,1,2,2,0,0,3,2,3,0,1,2,1,5,1
39,0,0,0,0,0,0,0,2,4,1,0,0,4,3,3,0,2,3,2,8,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,2,3,2,1,3,1,0,0,0,0,1,0,1,0,0,0,0,1,7,0
42,0,2,1,1,1,2,2,0,0,0,0,1,0,2,0,0,0,0,2,6,1
43,0,1,1,2,2,3,3,0,0,0,0,2,0,1,0,0,0,0,1,6,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,2,2,4,0,3,0,0,4,0,2,0,2,0,0,3,3,0,0,8,0
46,0,1,4,2,0,1,0,0,2,0,1,0,1,0,0,3,4,0,0,8,1
47,0,2,4,6,0,1,0,0,1,0,2,0,1,0,0,4,4,0,0,1,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,1,1,0,2,3,0,1,0,2,0,0,0,0,2,0,0,3,0,10,0
50,2,2,3,0,1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,9,1
51,2,1,3,0,2,1,0,2,0,2,0,0,0,0,1,0,0,2,0,3,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,1,1,0,0,2,0,1,0,0,3,2,0,2,1,0,1,9,0
54,0,0,0,5,1,0,0,1,0,2,0,0,4,1,0,4,3,0,2,6,1
55,0,0,0,6,1,0,0,2,0,1,0,0,3,1,0,4,2,0,1,10,0
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,3,0,0,0,1,0,2,0,2,0,3,2,0,0,1,0,4,3,0,6,0
58,1,0,0,0,1,0,1,0,2,0,1,1,0,0,1,0,4,2,0,3,1
59,1,0,0,0,2,0,2,0,3,0,1,2,0,0,1,0,1,2,0,10,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,2,0,0,0,0,1,2,1,0,0,0,2,0,2,4,0,0,2,8,0
62,1,2,0,0,0,0,2,1,1,0,0,0,2,0,2,3,0,0,2,10,0
63,2,1,0,0,0,0,3,2,1,0,0,0,4,0,2,2,0,0,2,8,1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,3,1,0,1,0,0,2,2,2,2,0,3,0,0,0,3,0,9,0
66,0,0,3,6,0,2,0,0,3,1,3,1,0,2,0,0,0,3,0,6,1
67,0,0,1,4,0,1,0,0,4,1,1,2,0,2,0,0,0,3,0,11,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,3,2,3,1,0,0,0,0,0,0,1,0,0,0,2,0,3,3,1,7,0
70,3,1,5,1,0,0,0,0,0,0,1,0,0,0,1,0,2,3,2,2,1
71,2,1,3,2,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,12,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,1,2,3,2,0,2,0,2,3,1,0,1,0,0,0,8,0
74,0,0,0,0,1,1,1,1,0,2,0,2,4,3,0,1,0,0,0,2,1
75,0,0,0,0,1,2,3,1,0,2,0,2,2,2,0,3,0,0,0,3,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,0,1,0,1,0,0,0,0,0,1,0,3,1,0,2,2,3,0,1,0
78,3,0,4,0,1,0,0,0,0,0,2,0,4,2,0,1,2,1,0,2,1
79,1,0,1,0,1,0,0,0,0,0,2,0,4,2,0,2,4,1,0,10,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,1,0,2,0,0,3,1,4,2,2,2,0,0,0,0,0,0,1,1,1
82,0,2,0,1,0,0,1,1,3,1,3,1,0,0,0,0,0,0,1,8,0
83,0,1,0,4,0,0,3,1,3,1,1,1,0,0,0,0,0,0,2,9,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,1,6,0,3,2,0,1,0,0,0,4,0,1,3,0,1,0,12,0
86,0,0,2,5,0,2,1,0,1,0,0,0,3,0,3,2,0,2,0,5,0
87,0,0,4,6,0,1,3,0,2,0,0,0,3,0,3,2,0,2,0,5,0
